"カテゴリ","ID","名称","レベル","説明","CD(秒)","威力","数","弾速","貫通","落雷数","範囲","半径","回転速度","間隔(秒)","燃焼DPS","持続(秒)","速度倍率"
"武器","bolt","マジックボルト","1","最も近い敵へ魔法弾を放つ","1.1","10","1","480","0","","","","","","","",""
"武器","bolt","マジックボルト","2","最も近い敵へ魔法弾を放つ","1","12","2","480","0","","","","","","","",""
"武器","bolt","マジックボルト","3","最も近い敵へ魔法弾を放つ","0.95","18","2","520","1","","","","","","","",""
"武器","bolt","マジックボルト","4","最も近い敵へ魔法弾を放つ","0.85","22","3","560","1","","","","","","","",""
"武器","bolt","マジックボルト","5","最も近い敵へ魔法弾を放つ","0.72","30","4","600","2","","","","","","","",""
"武器","blade","オービットブレード","1","周囲を回転する刃が敵を切り裂く","","9","2","","","","","60","2.8","","","",""
"武器","blade","オービットブレード","2","周囲を回転する刃が敵を切り裂く","","11","3","","","","","66","3","","","",""
"武器","blade","オービットブレード","3","周囲を回転する刃が敵を切り裂く","","15","3","","","","","76","3.3","","","",""
"武器","blade","オービットブレード","4","周囲を回転する刃が敵を切り裂く","","18","4","","","","","86","3.6","","","",""
"武器","blade","オービットブレード","5","周囲を回転する刃が敵を切り裂く","","24","6","","","","","96","4","","","",""
"武器","thunder","サンダー","1","落雷がランダムな敵を焼き払う","2.4","24","","","","1","52","","","","","",""
"武器","thunder","サンダー","2","落雷がランダムな敵を焼き払う","2.2","30","","","","1","58","","","","","",""
"武器","thunder","サンダー","3","落雷がランダムな敵を焼き払う","2","40","","","","2","64","","","","","",""
"武器","thunder","サンダー","4","落雷がランダムな敵を焼き払う","1.7","48","","","","2","72","","","","","",""
"武器","thunder","サンダー","5","落雷がランダムな敵を焼き払う","1.4","60","","","","3","80","","","","","",""
"武器","aura","ホーリーオーラ","1","周囲の敵に継続ダメージを与える聖域","","5","","","","","","66","","0.5","","",""
"武器","aura","ホーリーオーラ","2","周囲の敵に継続ダメージを与える聖域","","7","","","","","","80","","0.5","","",""
"武器","aura","ホーリーオーラ","3","周囲の敵に継続ダメージを与える聖域","","9","","","","","","94","","0.45","","",""
"武器","aura","ホーリーオーラ","4","周囲の敵に継続ダメージを与える聖域","","12","","","","","","110","","0.4","","",""
"武器","aura","ホーリーオーラ","5","周囲の敵に継続ダメージを与える聖域","","16","","","","","","128","","0.33","","",""
"武器","axe","スローイングアックス","1","放物線を描いて飛ぶ強力な斧","1.7","20","1","","","","","","","","","",""
"武器","axe","スローイングアックス","2","放物線を描いて飛ぶ強力な斧","1.6","24","2","","","","","","","","","",""
"武器","axe","スローイングアックス","3","放物線を描いて飛ぶ強力な斧","1.5","32","2","","","","","","","","","",""
"武器","axe","スローイングアックス","4","放物線を描いて飛ぶ強力な斧","1.3","38","3","","","","","","","","","",""
"武器","axe","スローイングアックス","5","放物線を描いて飛ぶ強力な斧","1.1","50","4","","","","","","","","","",""
"武器","wisp","スピリットウィスプ","1","敵を追尾する精霊の炎","1.9","13","1","","3","","","","","","","",""
"武器","wisp","スピリットウィスプ","2","敵を追尾する精霊の炎","1.8","15","2","","3","","","","","","","",""
